section_key,section_name,section type,Brand,Sub.Group,MPN,Option name,Cores,Threads,Freq(GHz),MaxMemSpeed(MT/s),SRAM_Cache(MB),DRAM_Cache(GB),BBU,Freq(MT/s),Capacity(GB),FormFactor(/mm),Interface,HDD_RPM,PCIeVersion,PCIeLane,Spec,Port,Connector,XCVR_Mode
HDD,HDD,optional,Seagate,SAS,ST20000NM007H,"HDD, 3.5"", 20TB, SAS",,,,,,,,,20000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Seagate,SATA,ST24000NM002H,"HDD, 3.5"", 24TB, SATA",,,,,,,,,24000 ,"3.5""",SATA,7200,,,,,,
HDD,HDD,optional,Seagate,SAS,ST24000NM007H,"HDD, 3.5"", 24TB, SAS",,,,,,,,,24000 ,"3.5""",SAS,7200,,,,,,
HDD,HDD,optional,Seagate,SATA,ST32000NM000K,"HDD, 3.5"", 32TB, SATA",,,,,,,,,32000 ,"3.5""",SATA,7200,,,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM893,MZ7L3480HCHQ-00A07,"SSD, 2.5""/7mm, 480GB, PM893",,,,,,,,,480 ,"2.5""/7",SATA,,,,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM893,MZ7L3960HCJR-00A07,"SSD, 2.5""/7mm, 960GB, PM893",,,,,,,,,960 ,"2.5""/7",SATA,,,,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM893,MZ7L31T9HBLT-00A07,"SSD, 2.5""/7mm, 1.92TB, PM893",,,,,,,,,1920 ,"2.5""/7",SATA,,,,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM893,MZ7L33T8HBLT-00A07,"SSD, 2.5""/7mm, 3.84TB, PM893",,,,,,,,,3840 ,"2.5""/7",SATA,,,,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM893,MZ7L37T6HBLA-00A07,"SSD, 2.5""/7mm, 7.68TB, PM893",,,,,,,,,7680 ,"2.5""/7",SATA,,,,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZ1L2960HCJR-00A07,"SSD, M.2/110mm, 960GB, PM9A3",,,,,,,,,960 ,M.2/110,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZ1L21T9HCLS-00A07,"SSD, M.2/110mm, 1.92TB, PM9A3",,,,,,,,,1920 ,M.2/110,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZ1L23T8HBLA-00A07,"SSD, M.2/110mm, 3.84TB, PM9A3",,,,,,,,,3840 ,M.2/110,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZQL2960HCJR-00A07,"SSD, 2.5""/7mm, 960GB, PM9A3",,,,,,,,,960 ,"2.5""/7",NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZQL21T9HCJR-00A07,"SSD, 2.5""/7mm, 1.92TB, PM9A3",,,,,,,,,1920 ,"2.5""/7",NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZQL23T8HCLS-00A07,"SSD, 2.5""/7mm, 3.84TB, PM9A3",,,,,,,,,3840 ,"2.5""/7",NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZQL27T6HBLA-00A07,"SSD, 2.5""/7mm, 7.68TB, PM9A3",,,,,,,,,7680 ,"2.5""/7",NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9A3,MZQL215THBLA-00A07,"SSD, 2.5""/7mm, 15.36TB, PM9A3",,,,,,,,,15363 ,"2.5""/7",NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZWL6960HFJA-00AW7,"SSD, 2.5""/15mm, 960GB, PM9D3A",,,,,,,,,960 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZWL61T9HFLT-00AW7,"SSD, 2.5""/15mm, 1.92TB, PM9D3A",,,,,,,,,1920 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZWL63T8HFLT-00AW7,"SSD, 2.5""/15mm, 3.84TB, PM9D3A",,,,,,,,,3840 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZWL67T6HBLC-00AW7,"SSD, 2.5""/15mm, 7.68TB, PM9D3A",,,,,,,,,7680 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZWL615THBLF-00AW7,"SSD, 2.5""/15mm, 15.36TB, PM9D3A",,,,,,,,,15363 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZVL6480HFLU-01AW7,"SSD, M.2/80mm, 480GB, PM9D3A",,,,,,,,,480 ,M.2/80,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZVL6960HFLB-01AW7,"SSD, M.2/80mm, 960GB, PM9D3A",,,,,,,,,960 ,M.2/80,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZVL61T9HBL1-01AW7,"SSD, M.2/80mm, 1.92TB, PM9D3A",,,,,,,,,1920 ,M.2/80,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZTL61T9HFJA-00AW7,"SSD, E1.S/9.5mm, 1.92TB, PM9D3A",,,,,,,,,1920 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZTL63T8HFLT-00AW7,"SSD, E1.S/9.5mm, 3.84TB, PM9D3A",,,,,,,,,3840 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZTL67T6HBLC-00AW7,"SSD, E1.S/9.5mm, 7.68TB, PM9D3A",,,,,,,,,7680 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZTL615THBLF-00AW7,"SSD, E1.S/9.5mm, 15.36TB, PM9D3A",,,,,,,,,15363 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZ3L61T9HFLT-00AW7,"SSD, E3.S/7.5mm, 1.92TB, PM9D3A",,,,,,,,,1920 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZ3L63T8HFLT-00AW7,"SSD, E3.S/7.5mm, 3.84TB, PM9D3A",,,,,,,,,3840 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZ3L67T6HBLC-00AW7,"SSD, E3.S/7.5mm, 7.68TB, PM9D3A",,,,,,,,,7680 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM9D3A,MZ3L615THBLF-00AW7,"SSD, E3.S/7.5mm, 15.36TB, PM9D3A",,,,,,,,,15363 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM1753,MZTL93T8HFLC-00AW7,"SSD, E1.S/9.5mm, 3.84TB, PM1753",,,,,,,,,3840 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM1753,MZTL97T6HFLA-00AW7,"SSD, E1.S/9.5mm, 7.68TB, PM1753",,,,,,,,,7680 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,SAMSUNG,PM1753,MZTL915THBLF-00AW7,"SSD, E1.S/9.5mm, 15.36TB, PM1753",,,,,,,,,15363 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 PRO,MTFDKCC960TGP-1BK1JABYY,"SSD, U.3/15mm, 960GB, 7500 PRO",,,,,,,,,960 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 PRO,MTFDKCC1T9TGP-1BK1JABYY,"SSD, U.3/15mm, 1.92TB, 7500 PRO",,,,,,,,,1920 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 PRO,MTFDKCC3T8TGP-1BK1JABYY,"SSD, U.3/15mm, 3.84TB, 7500 PRO",,,,,,,,,3840 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 PRO,MTFDKCC7T6TGP-1BK1JABYY,"SSD, U.3/15mm, 7.68TB, 7500 PRO",,,,,,,,,7680 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 PRO,MTFDKCC7T6TGP-1BK1DABYY,"SSD, U.3/15mm, 7.68TB, 7500 PRO",,,,,,,,,7680 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 PRO,MTFDKCC15T3TGP-1BK1DABYY,"SSD, U.3/15mm, 15.36TB, 7500 PRO",,,,,,,,,15363 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 MAX,MTFDKCC800TGQ-1BK1DABYY,"SSD, U.3/15mm, 800GB, 7500 MAX",,,,,,,,,800 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 MAX,MTFDKCC1T6TGQ-1BK1DABYY,"SSD, U.3/15mm, 1.6TB, 7500 MAX",,,,,,,,,1600 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 MAX,MTFDKCC3T2TGQ-1BK1DABYY,"SSD, U.3/15mm, 3.2TB, 7500 MAX",,,,,,,,,3200 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 MAX,MTFDKCC6T4TGQ-1BK1DABYY,"SSD, U.3/15mm, 6.4TB, 7500 MAX",,,,,,,,,6400 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7500 MAX,MTFDKCC12T8TGQ-1BK1DABYY,"SSD, U.3/15mm, 12.8TB, 7500 MAX",,,,,,,,,12800 ,U.3/15,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBA480TFR-1BC1ZABYY,"SSD, M.2/80mm, 480GB, 7450 PRO",,,,,,,,,480 ,M.2/80,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBA480TFR-1BC15ABYY,"SSD, M.2/80mm, 480GB, 7450 PRO",,,,,,,,,480 ,M.2/80,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBA960TFR-1BC1ZABYY,"SSD, M.2/80mm, 960GB, 7450 PRO",,,,,,,,,960 ,M.2/80,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBA960TFR-1BC15ABYY,"SSD, M.2/80mm, 960GB, 7450 PRO",,,,,,,,,960 ,M.2/80,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBG960TFR-1BC15ABYY,"SSD, M.2/110mm, 960GB, 7450 PRO",,,,,,,,,960 ,M.2/110,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBG1T9TFR-1BC15ABYY,"SSD, M.2/110mm, 1.92TB, 7450 PRO",,,,,,,,,1920 ,M.2/110,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 PRO,MTFDKBG3T8TFR-1BC15ABYY,"SSD, M.2/110mm, 3.84TB, 7450 PRO",,,,,,,,,3840 ,M.2/110,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 MAX,MTFDKBA400TFS-1BC1ZABYY,"SSD, M.2/80mm, 400GB, 7450 MAX",,,,,,,,,400 ,M.2/80,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7450 MAX,MTFDKBA800TFS-1BC1ZABYY,"SSD, M.2/80mm, 800GB, 7450 MAX",,,,,,,,,800 ,M.2/80,NVMe,,PCIe 4.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLAL1T9THG-1BP1JABYY,"SSD, 2.5""/15mm, 1.92TB, 7600 PRO",,,,,,,,,1920 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLAL3T8THG-1BP1JABYY,"SSD, 2.5""/15mm, 3.84TB, 7600 PRO",,,,,,,,,3840 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLAL7T6THG-1BP1JABYY,"SSD, 2.5""/15mm, 7.68TB, 7600 PRO",,,,,,,,,7680 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLAL15T3THG-1BP1JABYY,"SSD, 2.5""/15mm, 15.36TB, 7600 PRO",,,,,,,,,15363 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLCE1T9THG-1BP1DFCYY,"SSD, E1.S/15mm, 1.92TB, 7600 PRO",,,,,,,,,1920 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLCE3T8THG-1BP1DFCYY,"SSD, E1.S/15mm, 3.84TB, 7600 PRO",,,,,,,,,3840 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLCE7T6THG-1BP1DFCYY,"SSD, E1.S/15mm, 7.68TB, 7600 PRO",,,,,,,,,7680 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLCE15T3THG-1BP1DFCYY,"SSD, E1.S/15mm, 15.36TB, 7600 PRO",,,,,,,,,15363 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBT1T9THG-1BP1DFCYY,"SSD, E1.S/9.5mm, 1.92TB, 7600 PRO",,,,,,,,,1920 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBT3T8THG-1BP1DFCYY,"SSD, E1.S/9.5mm, 3.84TB, 7600 PRO",,,,,,,,,3840 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBT7T6THG-1BP1DFCYY,"SSD, E1.S/9.5mm, 7.68TB, 7600 PRO",,,,,,,,,7680 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBQ1T9THG-1BP1DFCYY,"SSD, E3.S/7.5mm, 1.92TB, 7600 PRO",,,,,,,,,1920 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBQ3T8THG-1BP1DFCYY,"SSD, E3.S/7.5mm, 3.84TB, 7600 PRO",,,,,,,,,3840 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBQ7T6THG-1BP1DFCYY,"SSD, E3.S/7.5mm, 7.68TB, 7600 PRO",,,,,,,,,7680 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,7600 PRO,MTFDLBQ15T3THG-1BP1DFCYY,"SSD, E3.S/7.5mm, 15.36TB, 7600 PRO",,,,,,,,,15363 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL3T8THA-1BK1JABYY,"SSD, 2.5""/15mm, 3.84TB, 9550 PRO",,,,,,,,,3840 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL3T8THA-1BK1DABYY,"SSD, 2.5""/15mm, 3.84TB, 9550 PRO",,,,,,,,,3840 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL7T6THA-1BK1JABYY,"SSD, 2.5""/15mm, 7.68TB, 9550 PRO",,,,,,,,,7680 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL7T6THA-1BK1DABYY,"SSD, 2.5""/15mm, 7.68TB, 9550 PRO",,,,,,,,,7680 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL15T3THA-1BK1JABYY,"SSD, 2.5""/15mm, 15.36TB, 9550 PRO",,,,,,,,,15363 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL15T3THA-1BK1DABYY,"SSD, 2.5""/15mm, 15.36TB, 9550 PRO",,,,,,,,,15363 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLAL30T7THA-1BK1JABYY,"SSD, 2.5""/15mm, 30.72TB, 9550 PRO",,,,,,,,,30720 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLCE3T8THA-1BK1DFCYY,"SSD, E1.S/15mm, 3.84TB, 9550 PRO",,,,,,,,,3840 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLCE7T6THA-1BK1DFCYY,"SSD, E1.S/15mm, 7.68TB, 9550 PRO",,,,,,,,,7680 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLCE15T3THA-1BK1DFCYY,"SSD, E1.S/15mm, 15.36TB, 9550 PRO",,,,,,,,,15363 ,E1.S/15,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLBT7T6THA-1BK1DFCYY,"SSD, E1.S/9.5mm, 7.68TB, 9550 PRO",,,,,,,,,7680 ,E1.S/9.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLBQ15T3THA-1BK1DABYY,"SSD, E3.S/7.5mm, 15.36TB, 9550 PRO",,,,,,,,,15363 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLBQ30T7THA-1BK1DABYY,"SSD, E3.S/7.5mm, 30.72TB, 9550 PRO",,,,,,,,,30720 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLAL3T2THB-1BK1JABYY,"SSD, 2.5""/15mm, 3.2TB, 9550 MAX",,,,,,,,,3200 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLAL6T4THB-1BK1JABYY,"SSD, 2.5""/15mm, 6.4TB, 9550 MAX",,,,,,,,,6400 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLAL12T8THB-1BK1JABYY,"SSD, 2.5""/15mm, 12.8TB, 9550 MAX",,,,,,,,,12800 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLAL25T6THB-1BK1JABYY,"SSD, 2.5""/15mm, 25.6TB, 9550 MAX",,,,,,,,,25600 ,"2.5""/15",NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLBQ3T2THB-1BK1DABYY,"SSD, E3.S/7.5mm, 3.2TB, 9550 MAX",,,,,,,,,3200 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLBQ6T4THB-1BK1DABYY,"SSD, E3.S/7.5mm, 6.4TB, 9550 MAX",,,,,,,,,6400 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 PRO,MTFDLBQ15T3THA-1BK1DABYY,"SSD, E3.S/7.5mm, 15.36TB, 9550 PRO",,,,,,,,,15363 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
SSD,SSD / NVMe,optional,MICRON,9550 MAX,MTFDLBQ25T6THB-1BK1DABYY,"SSD, E3.S/7.5mm, 25.6TB, 9550 MAX",,,,,,,,,25600 ,E3.S/7.5,NVMe,,PCIe 5.0,4,,,,
GPU,GPU / Accelerator,single,Nvidia,NVLink,900-23946-0000-000,Nvidia NVLINK 4-way,,,,,,,,,,,,,,,,4,NVLink,
GPU,GPU / Accelerator,single,Nvidia,NVLink,900-23945-0000-000,Nvidia NVLINK 2-way,,,,,,,,,,,,,,,,2,NVLink,
GPU,GPU / Accelerator,single,Nvidia,PCIe,900-2G133-0080-000,Nvidia GPU L40S,,,,,,,,,,FHFL-DW,,,PCIe 4.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe,900-2G193-0000-000,Nvidia GPU L4,,,,,,,,,,FHFL,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe,900-21010-0040-000,Nvidia GPU H200 NVL,,,,,,,,,,FHFL-DW,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe,900-2G153-0000-000,Nvidia RTX PRO 6000,,,,,,,,,,FHFL-DW,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe-AC,900-5G153-2250-000,Nvidia RTX PRO 5000 48GB Blackwell,,,,,,,,,,FHFL-DW,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe-LC,900-5G153-2270-000,Nvidia RTX PRO 5000 72GB Blackwell,,,,,,,,,,FHFL-DW,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe,900-5G147-2250-000,Nvidia RTX PRO 4500,,,,,,,,,,FHFL-DW,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,PCIe,900-2G147-0000-000 ,Nvidia RTX PRO 4500 Server Edition 32GB PCIe,,,,,,,,,,FHFL,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,HGX,935-26287-0070-000,Nvidia HGX B300 16-GPU 16 x 144GB Baseboard AC,,,,,,,,,,SXM,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,Nvidia,HGX,935-26287-0071-000,Nvidia HGX B300 NVL8 2.3TB Baseboard PC,,,,,,,,,,SXM,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,AMD,PCIe,100-300000008H,AMD MI210 PCIe,,,,,,,,,,FHFL-DW,,,PCIe 4.0,16,,,,
GPU,GPU / Accelerator,single,AMD,UBB-DLC,100-300000045H,AMD MI300X 192GB HBM3 750W,,,,,,,,,,OAM,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,AMD,UBB-AIR,100-300000069H,AMD MI300X 192GB HBM3 750W,,,,,,,,,,OAM,,,PCIe 4.0,16,,,,
GPU,GPU / Accelerator,single,AMD,UBB-DLC,100-300000098H,AMD MI325X 256GB HBM3e 1000W,,,,,,,,,,OAM,,,PCIe 4.0,24,,,,
GPU,GPU / Accelerator,single,AMD,UBB-AIR,100-300000097H,AMD MI325X 256GB HBM3e 1000W,,,,,,,,,,OAM,,,PCIe 4.0,16,,,,
GPU,GPU / Accelerator,single,AMD,UBB-AIR,100-300000246H,AMD MI350X 288GB 8 1000W,,,,,,,,,,OAM,,,PCIe 5.0,16,,,,
GPU,GPU / Accelerator,single,AMD,UBB-DLC,100-300000193H,AMD MI355X 288GB 8 1400W,,,,,,,,,,OAM,,,PCIe 5.0,16,,,,
HBA,HBA Card,optional,Broadcom,16i,05-50111-00,Broadcom eHBA 9600-16i,,,,,,,,,,HHHL,,,PCIe 4.0,8,9600-16i,2,x8 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Broadcom,24i,05-50111-01,Broadcom eHBA 9600-24i,,,,,,,,,,HHHL,,,PCIe 4.0,8,9600-24i,6,x4 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Broadcom,16i,05-50134-00,Broadcom eHBA 9500-16i,,,,,,,,,,HHHL,,,PCIe 4.0,8,9500-16i,2,x8 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Broadcom,8i,05-50134-01,Broadcom eHBA 9500-8i,,,,,,,,,,HHHL,,,PCIe 4.0,8,9500-8i,1,x8 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Broadcom,16i,05-50137-02,Broadcom eHBA 9502-16i,,,,,,,,,,HHHL,,,PCIe 4.0,8,9502-16i,2,x8 SFF-8654 (Vertical),
HBA,HBA Card,optional,Microchip,16i,120016IX2S,Microchip HBA 1200-16i,,,,,,,,,,HHHL,,,PCIe 4.0,8,1200-16i,2,x8 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Microchip,32i,1200UP32IX2S,Microchip HBA 1200-32i,,,,,,,,,,HHHL,,,PCIe 4.0,16,1200-32i,4,x8 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Microchip,16i,2293500-R ,Microchip HBA 1100-16i,,,,,,,,,,HHHL,,,PCIe 3.0,8,1100-16i,4,x4 SFF-8643 (Mini-SAS HD),
HBA,HBA Card,optional,Microchip,8i,2293200-R,Microchip HBA 1100-8i,,,,,,,,,,HHHL,,,PCIe 3.0,8,1100-8i,2,x4 SFF-8643 (Mini-SAS HD),
HBA,HBA Card,optional,Microchip,16i,1200UP16IX2S,Microchip HBA 1200P-16i,,,,,,,,,,HHHL,,,PCIe 4.0,8,1200P-16i,2,x8 SFF-8654 (SlimSAS),
HBA,HBA Card,optional,Microchip,16i,220016IX2S,Microchip HBA 2200-16i,,,,,,,,,,HHHL,,,PCIe 4.0,8,2200-16i,2,x8 SFF-8654 (SlimSAS),
Raid,RAID,optional,Broadcom,16i,05-50077-00,Broadcom MegaRAID(R) 9560-16i,,,,,,8,05-50039-00,,,HHHL,,,PCIe 4.0,8,9560-16i,2,x8 SFF-8654 (SlimSAS),
Raid,RAID,optional,Broadcom,8i,05-50077-01,Broadcom MegaRAID(R) 9560-8i,,,,,,4,05-50039-00,,,,,,PCIe 4.0,8,9560-8i,1,x8 SFF-8654 (SlimSAS),
Raid,RAID,optional,Broadcom,24i,05-50123-00,Broadcom MegaRAID(R) 9670-24i,,,,,,8,05-50039-00,,,,,,PCIe 4.0,8,9670-24i,3,x8 SFF-8654 (SlimSAS),
